employee_id,commute_time_min,num_transfers,walk_time_min,num_transit_steps
1.0,58.6,1.0,29.0,2.0
2.0,43.0,1.0,12.5,2.0
3.0,88.3,2.0,11.8,3.0
4.0,66.8,2.0,12.8,3.0
5.0,101.9,4.0,12.5,5.0
6.0,53.2,1.0,16.6,2.0
7.0,46.5,1.0,5.2,2.0
8.0,85.8,3.0,13.2,4.0
9.0,130.1,4.0,13.9,5.0
10.0,79.7,2.0,8.8,3.0
11.0,89.3,3.0,15.8,4.0
12.0,96.1,2.0,7.4,3.0
13.0,125.0,3.0,12.6,4.0
14.0,107.5,2.0,35.1,3.0
15.0,65.5,3.0,24.1,4.0
16.0,94.8,2.0,4.2,3.0
17.0,93.4,4.0,13.9,5.0
18.0,89.6,3.0,12.2,4.0
19.0,62.6,2.0,9.7,3.0
20.0,132.8,2.0,31.2,3.0
21.0,61.1,1.0,24.3,2.0
22.0,62.8,3.0,8.0,4.0
23.0,107.8,4.0,10.8,5.0
24.0,97.3,3.0,14.9,4.0
25.0,64.2,1.0,42.5,2.0
26.0,63.6,2.0,9.6,3.0
27.0,55.0,2.0,14.0,3.0
28.0,54.9,1.0,16.1,2.0
29.0,57.5,2.0,10.3,3.0
30.0,85.1,2.0,18.6,3.0
31.0,77.8,3.0,14.5,4.0
32.0,113.9,4.0,10.0,5.0
33.0,115.2,2.0,26.8,3.0
34.0,47.5,0.0,10.4,1.0
35.0,78.3,2.0,33.0,3.0
36.0,79.4,3.0,15.8,4.0
37.0,87.1,4.0,12.6,5.0
38.0,98.4,2.0,19.1,3.0
39.0,123.3,1.0,28.1,2.0
40.0,121.7,3.0,16.6,4.0
41.0,57.3,1.0,18.3,2.0
42.0,124.6,4.0,12.0,5.0
43.0,57.4,2.0,11.2,3.0
44.0,107.3,4.0,11.8,5.0
45.0,68.5,3.0,15.8,4.0
46.0,94.6,3.0,14.6,4.0
47.0,44.5,2.0,6.5,3.0
48.0,19.9,0.0,12.9,1.0
49.0,94.7,3.0,21.7,4.0
50.0,29.3,1.0,5.6,2.0
51.0,104.2,4.0,15.9,5.0
52.0,66.4,3.0,7.0,4.0
53.0,25.1,1.0,6.5,2.0
54.0,,,,
55.0,47.9,1.0,10.8,2.0
56.0,84.7,3.0,15.4,4.0
57.0,128.2,3.0,7.3,4.0
58.0,105.3,2.0,13.5,3.0
59.0,89.7,3.0,14.9,4.0
60.0,77.7,3.0,5.2,4.0
61.0,106.8,3.0,12.5,4.0
62.0,94.3,2.0,7.5,3.0
63.0,106.2,2.0,9.2,3.0
64.0,105.8,3.0,24.2,4.0
65.0,112.5,2.0,6.2,3.0
66.0,38.2,1.0,16.5,2.0
67.0,89.6,3.0,12.4,4.0
68.0,49.7,1.0,18.0,2.0
69.0,102.0,4.0,15.0,5.0
70.0,112.8,3.0,11.4,4.0
71.0,143.8,5.0,9.6,6.0
72.0,127.3,4.0,21.4,5.0
73.0,65.2,2.0,13.3,3.0
74.0,137.6,5.0,17.7,6.0
75.0,63.9,1.0,32.3,2.0
76.0,79.5,2.0,8.1,3.0
77.0,87.0,2.0,17.6,3.0
78.0,71.7,2.0,19.3,3.0
79.0,48.1,1.0,19.6,2.0
80.0,92.5,4.0,18.3,5.0
81.0,46.9,1.0,10.2,2.0
82.0,105.9,3.0,26.4,4.0
83.0,55.0,1.0,19.2,2.0
84.0,142.6,3.0,16.7,4.0
85.0,117.0,1.0,14.6,2.0
86.0,60.1,1.0,17.1,2.0
87.0,57.1,1.0,27.5,2.0
88.0,72.6,2.0,4.6,3.0
89.0,108.1,4.0,15.9,5.0
90.0,100.1,4.0,13.1,5.0
91.0,104.5,4.0,17.4,5.0
92.0,158.6,3.0,42.5,4.0
93.0,34.9,1.0,8.2,2.0
94.0,101.4,2.0,11.8,3.0
95.0,100.9,4.0,21.3,5.0
96.0,66.5,3.0,12.6,4.0
97.0,95.7,3.0,22.6,4.0
98.0,67.7,2.0,10.1,3.0
99.0,92.9,4.0,15.4,5.0
100.0,129.7,3.0,21.3,4.0
