stop_name,stop_lat,stop_lon
"Oering, Schule",53.824434,10.148492
Ohlstedt,53.6952936,10.138098399999999
Bad Oldesloe Birkenkamp,53.798533,10.3644266
"Ahrensburg, Manhagener Allee",53.667590000000004,10.244729999999999
Windmühlenweg,53.5710871,9.8700721
"Groß Niendorf, Feuerwehr",53.845203999999995,10.241204
Ammersbek Rathaus,53.69171,10.16799
"Elmenhorst, Schulstraße",53.762645,10.261225
Palstek,53.5335775,9.850924
"Hammoor, Bachstraße",53.712984,10.321016199999999
"Schenefeld, Gorch-Fock-Straße",53.607529299999996,9.8552927
"Stemwarde, Feuerwache",53.57042,10.242149999999999
Holtbarg,53.583704,9.822486999999999
Winsen(b Neumünster),53.8309813,10.015707299999999
"Ellerbek, Moordamm",53.63839,9.89434
Bark Bockhorn(West),53.9186778,10.1279884
"Hüttblek, Hökerbarg",53.8398319,10.073423499999999
Feldrosenweg,53.61392,9.88509
A Ulzburg Süd,53.773576999999996,9.973447
Lasbek-Krummbek Am Park,53.7497628,10.3946203
Moorredder,53.6592334,10.182658199999999
Goldbekplatz,53.583800800000006,10.0105668
"Kuddewörde, Mühlenredder",53.57781,10.39101
Sternbergweg,53.565844,9.846374599999999
Jersbek Hartwigsahler Weg,53.751453299999994,10.2039717
Boltenhagener Straße,53.600081599999996,10.136381
Rosenbrook,53.604682800000006,9.9857882
Lerchenberg,53.6533313,10.168804699999999
U Trabrennbahn (SEV),53.5973019,10.1011872
"Schmalenbeck, Barkholt",53.6485367,10.271706
Jasminweg,53.6148656,9.8799262
Osterfelddeich,53.52019860000001,9.886036599999999
"Tornesch, Aalkamp",53.6994976,9.7334987
"Leezen, Seestraße",53.870392,10.255649
"Hasloh, Peter-Lunding-Weg",53.692583899999995,9.9294096
Große Rainstraße,53.553295999999996,9.931624
Rahmwerder Straße,53.512595399999995,10.0208357
Großensee(Kr Stormarn) Schierholzkaten,53.6132138,10.305809
"Appen-Etz, Denkmal",53.6345859,9.754197999999999
Dradenauer Deichweg,53.5113881,9.9010004
Seth Im Weißen Moor,53.851914,10.1679363
Am Altenwerder Kirchtal (Süd),53.503735899999995,9.921864399999999
"Friedrichsgabe, Tycho-Brahe-Kehre",53.7361605,9.9846307
Kirchdorfer Straße (Museum Elbinsel),53.4910345,10.0191992
"Quickborn-Heide, Heideweg",53.74859,9.96344
"Hemdingen, Beiderwand",53.765989999999995,9.845369999999999
Norderstedt-Friedrichsgabe Pestalozzistraße,53.733109999999996,9.99653
Tangstedt(Kr Stormarn) B 432,53.728359999999995,10.10055
"Bilsen, Waldfrieden",53.75443,9.883054
"Wilstedt, Dorfring",53.745265499999995,10.0610968
"Schenefeld, Uetersener Weg",53.603739,9.817421999999999
"Quickborn-Heide, Lerchenweg",53.75353,9.939620000000001
Kayhude Naherfurth,53.7672832,10.1257362
"Grabau (Oldesloe), Rosenstraße",53.8038429,10.2747803
"Seth, Holmer Weg",53.8395933,10.182815699999999
"Halstenbek, Hagenwisch",53.627867099999996,9.8366182
"Elmshorn, Ramskamp (Mitte)",53.7416682,9.6919624
"Todesfelde, Friedrichshöh",53.8918955,10.171961999999999
Engelbrechtweg,53.5980503,9.8550278
